"Item","Subsection Multiplier","Qty per module","Qty","Part Number","Description/Name","Vendor","Qty Per Lot","Price (CAD)","Total","Status","Link"
"1","1","1","4","SRV-116","Driven Diffy Bevel","Custom / 3DP PA-CF","1","0","0","To Be made",""
"2","1","1","4","REV-21-2423","3" ION Traction Wheel (60A, MAXSpline Bore)","REV Canada","1","8.1","32.4","Waiting","https://revrobotics.ca/ION-Traction-Wheels/?searchid=120514&search_query=REV-21-2423"
"3","1","2","8","REV-21-2037","1/2" Hex Bore MAXHub","Custom / 3DP","1","0","0","To Be made",""
"4","1","1","4","REV-21-1135","1/2" Rounded Hex (3.25" L, 13.75mm OD)","REV Canada","4","33.75","33.75","To Be made","https://revrobotics.ca/.5in-Rounded-Hex-Shafts/?searchid=120515&search_query=REV-21-1135"
"5","1","1","4","","Socket button head cap screw #10-32 x 0.75","AliExpress","1","","0","Availible",""
"6","1","3","12","REV-21-2805","#10-32 x 0.5" L Shaft End Screw (V2, Steel, Black Oxide)","REV Canada","25","16.2","16.2","Waiting","https://www.studica.ca/en/search?q=REV-21-2805"
"7","1","2","8","SRV-101","Bevel 1.5875000000000001M 63T 75deg","Custom / 3DP","1","0","0","To Be made","N/A (In-house)"
"8","1","2","8","","Bearing Block^3","","1","","0","",""
"8.1","2","4","32","REV-41-1368","Small Pulley Bearing REV-41-1368","AliExpress","20","$3.50","$7.00","Waiting","https://www.aliexpress.com/item/32819002479.html?spm=a2g0o.productlist.main.6.71c9c7qvc7qvvW&algo_pvid=e0b56582-5697-4e3b-b2ce-d2bbcc915901&algo_exp_id=e0b56582-5697-4e3b-b2ce-d2bbcc915901-5&pdp_ext_f=%7B%22order%22%3A%22334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.47%213.47%21%21%212.47%212.47%21%402101f70717790505332938777e96c2%2164723747599%21sea%21CA%213883625848%21X%211%210%21n_tag%3A-29919%3Bd%3Aa5dead36%3Bm03_new_user%3A-29895&curPageLogUid=bLfAM8atCllP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32819002479%7C_p_origin_prod%3A"
"8.2","2","2","16","","Socket button head screw M3x0.5 x 40","AliExpress","50","4.31","4.31","Waiting","https://www.aliexpress.com/item/1005002320975566.html?spm=a2g0o.productlist.main.6.5d13eCtIeCtIRg&aem_p4p_detail=20260517145345979630079955650002077103&algo_pvid=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632&algo_exp_id=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632-5&pdp_ext_f=%7B%22order%22%3A%223701%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.85%213.85%21%21%212.74%212.74%21%402103212517790548251691547e50f4%2112000020086896832%21sea%21CA%213883625848%21X%211%210%21n_tag%3A-29919%3Bd%3Aa5dead36%3Bm03_new_user%3A-29895&curPageLogUid=ZE7kuhjizy5S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002320975566%7C_p_origin_prod%3A&search_p4p_id=20260517145345979630079955650002077103_2"
"8.3","2","1","8","SRV-001","Bearing Block","Custom / 3DP","1","0","0","To Be made","N/A (In-house)"
"8.4","2","2","16","","Hex nut grade A & B M3x0.5","AliExpress","50","1.32","1.32","Waiting","https://www.aliexpress.com/item/1005008625622586.html?spm=a2g0o.productlist.main.20.44f3SssRSssRV6&aem_p4p_detail=202605251935592794664941184600003406377&algo_pvid=06ce3ca3-057f-4de9-8d7b-d85e2c841867&algo_exp_id=06ce3ca3-057f-4de9-8d7b-d85e2c841867-19&pdp_ext_f=%7B%22order%22%3A%22798%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.24%211.12%21%21%215.95%215.35%21%402101e83017797629590878333e53dd%2112000046005784104%21sea%21CA%213883625848%21X%211%210%21n_tag%3A-29919%3Bd%3Aa5dead36%3Bm03_new_user%3A-29895&curPageLogUid=M129SZcTZAIQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008625622586%7C_p_origin_prod%3A&search_p4p_id=202605251935592794664941184600003406377_5"
"8.5","2","1","8","1/2" Rounded Hex (13.75mm) ID Bearing (1.125" OD, 0.313" WD, Shielded, Flanged)","1/2" Rounded Hex (13.75mm) ID Bearing (1.125" OD, 0.313" WD, Shielded, Flanged)","REV Canada","4","16.2","32.4","Waiting","https://revrobotics.ca/ION-Bearings/?searchid=120518&search_query=1%2F2%22+Rounded+Hex+%2813.75mm%29+ID+Bearing+%281.125%22+OD%2C+0.313%22+WD%2C+Shielded%2C+Flanged%29"
"8.6","2","1","8","","1/2" Hex Bore Custom Spacer (0.75" OD,0.375" L)","Custom / 3DP","1","","","To Be made",""
"8.7","2","3","24","94459A330","#8-32 x 0.321" L Straight Heat Set Insert","AliExpress","50","7.5","7.5","Waiting","https://www.aliexpress.com/item/1005007306661746.html"
"9","1","1","4","WCP-0357/KA030XP0","3" ID X-Contact Bearing (3.5" OD, 0.25" WD)","AliBaba","4","89.07","89.07","Waiting","Alibaba chats"
"10","1","1","4","SRV-002","Inner Clanp","Custom / 3DP PA-CF","1","","","To Be made","N/A (In-house)"
"11","1","1","4","","Gearbox","","1","","","Waiting",""
"11.1","1","2","8","","Motor","","1","","","Waiting",""
"11.1.1","2","6","48","","Hex socket head cap screw M3x0.50 x 14","AliExpress","50","4.31","4.31","Waiting","https://www.aliexpress.com/item/1005002320975566.html?spm=a2g0o.productlist.main.6.5d13eCtIeCtIRg&aem_p4p_detail=20260517145345979630079955650002077103&algo_pvid=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632&algo_exp_id=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632-5&pdp_ext_f=%7B%22order%22%3A%223701%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.85%213.85%21%21%212.74%212.74%21%402103212517790548251691547e50f4%2112000020086896832%21sea%21CA%213883625848%21X%211%210%21n_tag%3A-29919%3Bd%3Aa5dead36%3Bm03_new_user%3A-29895&curPageLogUid=ZE7kuhjizy5S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002320975566%7C_p_origin_prod%3A&search_p4p_id=20260517145345979630079955650002077103_2"
"11.1.2","2","1","8","REV-21-1651","NEO 550 Brushless Motor","REV Canada","1","37.8","302.4","Availible",""
"11.1.3","2","1","8","SRV-110","NEO 550 sus Pinion","Custom / 3DP","1","0","0","Waiting","N/A (In-house)"
"11.2","1","2","8","3/8" Rounded Hex (10.25mm) ID Bearing (0.875" OD, 0.28" WD, Shielded, Flanged)","3/8" Rounded Hex (10.25mm) ID Bearing (0.875" OD, 0.281" WD, Shielded, Flanged)","REV Canada","1","","","Availible","https://revrobotics.ca/ION-Bearings/?searchid=120518&search_query=1%2F2%22+Rounded+Hex+%2813.75mm%29+ID+Bearing+%281.125%22+OD%2C+0.313%22+WD%2C+Shielded%2C+Flanged%29"
"11.3","1","2","8","","Socket head cap screw #8-32 x 2.5","AliExpress","1","","","Availible","https://www.aliexpress.com/wholesale?SearchText=Socket+head+cap+screw+%238-32+x+2.5"
"11.4","1","14","56","R166ZZEE","0.19" ID Bearing (0.375" OD, 0.156" WD, Shielded, Extended Race)","AliExpress","50/10","31.99/11.99","44","Waiting","https://www.aliexpress.com/wholesale?SearchText=R166ZZEE+0.19"+ID+Bearing+(0.375"+OD,+0.156"+WD,+Shielded,+Extended+Race)"
"11.5","1","2","8","SRV-111","Input Gear","Custom / 3DP PA-CF","1","","","To Be made","N/A (In-house)"
"11.6","1","2","8","SRV-190","0.125in #10 bearing spacer","Custom / 3DP","1","","","To Be made","N/A (In-house)"
"11.7","1","4","16","SRV-112","Middle gears","Custom / 3DP PA-CF","1","","","To Be made","N/A (In-house)"
"11.8","1","4","16","SRV-190","functionally a 0.125in #10 bearing spacer","Custom / 3DP","1","","","To Be made","N/A (In-house)"
"11.9","1","2","8","SRV-191","0.625in #10 bearing spacer","Custom / 3DP","1","","","To Be made","N/A (In-house)"
"11.1","1","2","8","SRV-192","~0..25in #10 bearing spacer","Custom / 3DP","1","","","To Be made","N/A (In-house)"
"11.11","1","2","8","SRV-113","Output Gears","Custom / 3DP PA-CF","1","","","To Be made","N/A (In-house)"
"11.12","1","5","20","","Socket button head cap screw #10-32 x 2.5","","1","","","Availible",""
"11.13","1","1","4","SRV-000","Top Plate - Main Plate","Custom / CNC 1/4"","1","0","0","To Be made","N/A (In-house)"
"11.14","1","1","4","SRV-150","Gearbox Plate 3.18 mm","Custom / 3DP","1","0","0","To Be made","N/A (In-house)"
"11.15","1","8","32","","Hex socket head cap screw M3x0.50 x 8","AliExpress","50","3.21","3.21","Waiting","https://www.aliexpress.com/item/1005002320975566.html?spm=a2g0o.productlist.main.6.5d13eCtIeCtIRg&aem_p4p_detail=20260517145345979630079955650002077103&algo_pvid=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632&algo_exp_id=c9b6fab9-dd83-4ce4-8aee-4bb3b690d632-5&pdp_ext_f=%7B%22order%22%3A%223701%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.85%213.85%21%21%212.74%212.74%21%402103212517790548251691547e50f4%2112000020086896832%21sea%21CA%213883625848%21X%211%210%21n_tag%3A-29919%3Bd%3Aa5dead36%3Bm03_new_user%3A-29895&curPageLogUid=ZE7kuhjizy5S&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002320975566%7C_p_origin_prod%3A&search_p4p_id=20260517145345979630079955650002077103_2"
"11.16","1","1","4","","AS5600","AliExpress","2","4.89","9.78","Waiting","https://www.aliexpress.com/item/1005009897934982.html"
"11.17","1","1","4","SRV-151","Encoder Mount","Custom / 3DP","1","0","0","To Be made","N/A (In-house)"
"11.18","1","1","4","","0.196" ID Custom Spacer (0.375" OD,2.25" L)","Custom / 3DP","1","","","To Be made","https://www.aliexpress.com/wholesale?SearchText=0.196"+ID+Custom+Spacer+(0.375"+OD,2.25"+L)"
"11.19","1","2","8","","0.196" ID Custom Spacer (0.375" OD,1.438" L)","Custom / 3DP","1","","","To Be made","https://www.aliexpress.com/wholesale?SearchText=0.196"+ID+Custom+Spacer+(0.375"+OD,1.438"+L)"
"12","1","1","4","SRV-001","Spacer Ring Thing","Custom / 3DP PA-CF","1","","","To Be made","N/A (In-house)"
